Date,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,WnvPresent,Year,Month,WeekofYear,YearMonth,NumMosquitos,Coord,dist_spray,sprayed
2009-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,6,23,2009-06,9,"(41.867108, -87.654224)",4430.72225332776,0
2009-06-12,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,6,24,2009-06,20,"(41.867108, -87.654224)",4430.72225332776,0
2009-06-12,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,6,24,2009-06,34,"(41.867108, -87.654224)",4430.72225332776,0
2009-06-12,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,6,24,2009-06,39,"(41.867108, -87.654224)",4430.72225332776,0
2009-06-19,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,6,25,2009-06,6,"(41.867108, -87.654224)",4430.72225332776,0
2009-06-22,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,6,26,2009-06,19,"(41.867108, -87.654224)",4430.72225332776,0
2009-06-22,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,6,26,2009-06,36,"(41.867108, -87.654224)",4430.72225332776,0
2009-06-26,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,6,26,2009-06,4,"(41.867108, -87.654224)",4430.72225332776,0
2009-06-26,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,6,26,2009-06,84,"(41.867108, -87.654224)",4430.72225332776,0
2009-06-26,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,6,26,2009-06,23,"(41.867108, -87.654224)",4430.72225332776,0
2009-06-26,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX SALINARIUS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,6,26,2009-06,5,"(41.867108, -87.654224)",4430.72225332776,0
2009-07-06,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,7,28,2009-07,3,"(41.867108, -87.654224)",4430.72225332776,0
2009-07-06,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,7,28,2009-07,49,"(41.867108, -87.654224)",4430.72225332776,0
2009-07-06,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,7,28,2009-07,18,"(41.867108, -87.654224)",4430.72225332776,0
2009-07-10,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,7,28,2009-07,2,"(41.867108, -87.654224)",4430.72225332776,0
2009-07-10,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,7,28,2009-07,52,"(41.867108, -87.654224)",4430.72225332776,0
2009-07-10,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,7,28,2009-07,20,"(41.867108, -87.654224)",4430.72225332776,0
2009-07-17,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,7,29,2009-07,26,"(41.867108, -87.654224)",4430.72225332776,0
2009-07-17,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,7,29,2009-07,11,"(41.867108, -87.654224)",4430.72225332776,0
2009-07-24,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,7,30,2009-07,2,"(41.867108, -87.654224)",4430.72225332776,0
2009-07-24,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,7,30,2009-07,36,"(41.867108, -87.654224)",4430.72225332776,0
2009-07-24,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,7,30,2009-07,64,"(41.867108, -87.654224)",4430.72225332776,0
2009-07-24,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX SALINARIUS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,7,30,2009-07,2,"(41.867108, -87.654224)",4430.72225332776,0
2009-08-07,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,8,32,2009-08,1,"(41.867108, -87.654224)",4430.72225332776,0
2009-08-07,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,8,32,2009-08,14,"(41.867108, -87.654224)",4430.72225332776,0
2009-08-07,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,8,32,2009-08,24,"(41.867108, -87.654224)",4430.72225332776,0
2009-08-13,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,8,33,2009-08,1,"(41.867108, -87.654224)",4430.72225332776,0
2009-08-13,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,8,33,2009-08,8,"(41.867108, -87.654224)",4430.72225332776,0
2009-08-13,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,8,33,2009-08,11,"(41.867108, -87.654224)",4430.72225332776,0
2009-08-25,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,8,35,2009-08,1,"(41.867108, -87.654224)",4430.72225332776,0
2009-08-25,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,8,35,2009-08,1,"(41.867108, -87.654224)",4430.72225332776,0
2009-08-25,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,8,35,2009-08,5,"(41.867108, -87.654224)",4430.72225332776,0
2009-09-03,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,9,36,2009-09,1,"(41.867108, -87.654224)",4430.72225332776,0
2009-09-03,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,9,36,2009-09,2,"(41.867108, -87.654224)",4430.72225332776,0
2009-09-03,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,9,36,2009-09,3,"(41.867108, -87.654224)",4430.72225332776,0
2009-09-14,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,9,38,2009-09,9,"(41.867108, -87.654224)",4430.72225332776,0
2009-09-14,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,9,38,2009-09,5,"(41.867108, -87.654224)",4430.72225332776,0
2009-09-17,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,9,38,2009-09,2,"(41.867108, -87.654224)",4430.72225332776,0
2009-09-17,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,9,38,2009-09,24,"(41.867108, -87.654224)",4430.72225332776,0
2009-09-17,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,9,38,2009-09,3,"(41.867108, -87.654224)",4430.72225332776,0
2009-09-25,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,9,39,2009-09,23,"(41.867108, -87.654224)",4430.72225332776,0
2009-09-25,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,9,39,2009-09,10,"(41.867108, -87.654224)",4430.72225332776,0
2009-10-01,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,10,40,2009-10,11,"(41.867108, -87.654224)",4430.72225332776,0
2009-10-01,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2009,10,40,2009-10,1,"(41.867108, -87.654224)",4430.72225332776,0
2011-06-17,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,6,24,2011-06,6,"(41.867108, -87.654224)",4430.72225332776,0
2011-06-17,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,6,24,2011-06,7,"(41.867108, -87.654224)",4430.72225332776,0
2011-06-30,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,6,26,2011-06,19,"(41.867108, -87.654224)",4430.72225332776,0
2011-06-30,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,6,26,2011-06,15,"(41.867108, -87.654224)",4430.72225332776,0
2011-07-11,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,7,28,2011-07,3,"(41.867108, -87.654224)",4430.72225332776,0
2011-07-11,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,7,28,2011-07,25,"(41.867108, -87.654224)",4430.72225332776,0
2011-07-11,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,7,28,2011-07,15,"(41.867108, -87.654224)",4430.72225332776,0
2011-07-11,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX TERRITANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,7,28,2011-07,2,"(41.867108, -87.654224)",4430.72225332776,0
2011-07-15,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,7,28,2011-07,65,"(41.867108, -87.654224)",4430.72225332776,0
2011-07-15,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,7,28,2011-07,2,"(41.867108, -87.654224)",4430.72225332776,0
2011-07-25,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,7,30,2011-07,35,"(41.867108, -87.654224)",4430.72225332776,0
2011-07-25,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,7,30,2011-07,12,"(41.867108, -87.654224)",4430.72225332776,0
2011-07-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,7,30,2011-07,6,"(41.867108, -87.654224)",4430.72225332776,0
2011-07-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,7,30,2011-07,7,"(41.867108, -87.654224)",4430.72225332776,0
2011-08-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,8,31,2011-08,11,"(41.867108, -87.654224)",4430.72225332776,0
2011-08-12,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,8,32,2011-08,3,"(41.867108, -87.654224)",4430.72225332776,0
2011-08-12,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,8,32,2011-08,3,"(41.867108, -87.654224)",4430.72225332776,0
2011-08-19,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,8,33,2011-08,1,"(41.867108, -87.654224)",4430.72225332776,0
2011-08-19,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,8,33,2011-08,6,"(41.867108, -87.654224)",4430.72225332776,0
2011-08-26,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,8,34,2011-08,2,"(41.867108, -87.654224)",4430.72225332776,0
2011-08-26,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,8,34,2011-08,1,"(41.867108, -87.654224)",4430.72225332776,0
2011-09-01,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,9,35,2011-09,1,"(41.867108, -87.654224)",4430.72225332776,0
2011-09-12,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2011,9,37,2011-09,3,"(41.867108, -87.654224)",4430.72225332776,0
